t_s,P_acc_pa,P_act_pa
0.000000000000000000e+00,2.413165051499999687e+07,1.013529321629999904e+05
5.000000000000000278e-02,2.413165051499999687e+07,1.013529321629999904e+05
1.000000000000000056e-01,2.413165051499999687e+07,1.013529321629999904e+05
1.500000000000000222e-01,2.413165051499999687e+07,1.013529321629999904e+05
2.000000000000000111e-01,2.413165051499999687e+07,1.013529321629999904e+05
2.500000000000000000e-01,2.413165051499999687e+07,1.013529321629999904e+05
3.000000000000000444e-01,2.413165051499999687e+07,1.013529321629999904e+05
3.500000000000000333e-01,2.413165051499999687e+07,1.013529321629999904e+05
4.000000000000000222e-01,2.413165051499999687e+07,1.013529321629999904e+05
4.500000000000000111e-01,2.413165051499999687e+07,1.013529321629999904e+05
5.000000000000000000e-01,2.413165051499999687e+07,1.013529321629999904e+05
5.500000000000000444e-01,2.413165051499999687e+07,1.013529321629999904e+05
6.000000000000000888e-01,2.413165051499999687e+07,1.013529321629999904e+05
6.500000000000000222e-01,2.413165051499999687e+07,1.013529321629999904e+05
7.000000000000000666e-01,2.413165051499999687e+07,1.013529321629999904e+05
7.500000000000000000e-01,2.413165051499999687e+07,1.013529321629999904e+05
8.000000000000000444e-01,2.413165051499999687e+07,1.013529321629999904e+05
8.500000000000000888e-01,2.413165051499999687e+07,1.013529321629999904e+05
9.000000000000000222e-01,2.413165051499999687e+07,1.013529321629999904e+05
9.500000000000000666e-01,2.413165051499999687e+07,1.013529321629999904e+05
1.000000000000000000e+00,2.413161532826950774e+07,1.014233056239822909e+05
1.050000000000000044e+00,1.612156325266083144e+07,1.612152745684134774e+07
1.100000000000000089e+00,1.612155617031260207e+07,1.612154162153781019e+07
1.150000000000000133e+00,1.612154626652760617e+07,1.612156142910780013e+07
1.200000000000000178e+00,1.612153794934315979e+07,1.612157806347669475e+07
1.250000000000000000e+00,1.612152963215871342e+07,1.612159469784558751e+07
1.300000000000000044e+00,1.612152131497426704e+07,1.612161133221448213e+07
1.350000000000000089e+00,1.612151299778982066e+07,1.612162796658337489e+07
1.400000000000000133e+00,1.612150468060537241e+07,1.612164460095226765e+07
1.450000000000000178e+00,1.612149636342092603e+07,1.612166123532116227e+07
1.500000000000000000e+00,1.612148804623647965e+07,1.612167786969005503e+07
1.550000000000000044e+00,1.612147972905203328e+07,1.612169450405894779e+07
1.600000000000000089e+00,1.612147344639329240e+07,1.612170706937643327e+07
1.650000000000000133e+00,1.612146917445543781e+07,1.612171561325214058e+07
